filename,xmin,ymin,width,height,attribution,photowidth,photoheight
1001h.jpg,58,76,395,112,1,480,320
1001h.jpg,63,200,382,68,1,480,320
1003h.jpg,169,53,31,43,1,291,165
1004h.jpg,202,197,268,128,1,800,533
1006h.jpg,142,165,207,91,1,539,381
1007h.jpg,230,77,114,76,1,539,276
1008h.jpg,2,21,357,117,1,775,308
1008h.jpg,190,157,579,105,1,775,308
1009h.jpg,158,109,424,351,1,800,534
100s.jpg,139,216,197,132,2,620,349
100sj.jpg,46,71,148,97,2,252,234
100sp.jpg,0,1,128,128,2,127,127
1010h.jpg,8,7,131,203,1,146,235
1011h.jpg,32,7,140,287,1,211,310
1012h.jpg,68,111,46,55,1,325,201
1014h.jpg,72,83,199,98,1,330,280
1015h.jpg,658,508,426,428,1,1800,1197
1016h.jpg,13,13,102,240,1,420,260
1016h.jpg,132,55,88,162,1,420,260
1016h.jpg,229,101,90,135,1,420,260
1016h.jpg,326,45,88,191,1,420,260
1017h.jpg,19,17,243,155,1,300,199
1018h.jpg,22,18,261,132,1,317,205
1019h.jpg,2,13,68,115,1,201,143
1019h.jpg,123,1,71,131,1,201,143
101s.jpg,129,185,140,131,2,634,469
101sj.jpg,45,10,347,483,2,430,558
101sp.jpg,-4,2,116,111,2,118,118
1022h.jpg,63,34,88,98,1,238,193
1023h.jpg,566,360,108,184,1,1300,989
1024h.jpg,213,125,88,90,1,375,500
1025h.jpg,288,163,82,84,1,617,467
1026h.jpg,0,6,123,160,1,127,184
1028h.jpg,58,37,122,151,1,250,199
1029h.jpg,9,10,97,92,1,111,125
102s.jpg,90,21,364,351,2,500,364
102sp.jpg,0,2,95,102,2,101,101
1031h.jpg,4,42,139,272,1,254,326
1033h.jpg,26,36,260,143,1,355,217
1035h.jpg,123,93,220,133,1,436,270
1036h.jpg,6,28,254,308,1,264,340
1037h.jpg,101,76,89,100,1,380,342
1037h.jpg,199,122,121,82,1,380,342
1037h.jpg,220,14,99,105,1,380,342
1037h.jpg,-3,152,175,89,1,380,342
1037h.jpg,74,261,107,70,1,380,342
1037h.jpg,103,214,150,63,1,380,342
1039h.jpg,154,130,270,117,1,768,512
1039h.jpg,358,227,267,152,1,768,512
103s.jpg,63,31,666,490,2,766,530
103sj.jpg,583,363,177,130,2,1280,853
103sp.jpg,1,-1,128,132,2,130,130
1040h.jpg,140,30,191,238,1,436,287
1041h.jpg,126,90,88,114,1,328,244
1042h.jpg,9,22,56,127,1,190,159
1042h.jpg,90,15,75,128,1,190,159
1043h.jpg,124,196,173,206,1,728,546
1043h.jpg,436,176,200,148,1,728,546
1044h.jpg,94,122,176,127,1,420,296
1045h.jpg,32,32,349,221,1,410,283
1046h.jpg,60,47,59,34,1,297,219
1046h.jpg,46,130,180,64,1,297,219
1046h.jpg,201,30,58,42,1,297,219
1047h.jpg,38,110,65,79,1,325,201
1047h.jpg,165,29,60,71,1,325,201
1048h.jpg,273,47,104,130,1,450,278
1049h.jpg,4,56,188,112,1,258,258
104s.jpg,71,76,188,181,2,350,307
104sj.jpg,131,102,173,84,2,387,297
104sp.jpg,-2,3,75,73,2,74,74
1050h.jpg,60,17,92,138,1,245,196
1051h.jpg,154,98,58,86,1,390,280
1051h.jpg,99,10,52,70,1,390,280
1051h.jpg,18,127,81,57,1,390,280
1051h.jpg,28,198,65,39,1,390,280
1051h.jpg,212,36,51,41,1,390,280
1051h.jpg,230,83,88,63,1,390,280
1051h.jpg,2,8,52,63,1,390,280
1051h.jpg,12,52,127,52,1,390,280
1052h.jpg,87,66,270,448,1,441,641
1053h.jpg,548,322,549,589,1,1640,1319
1054h.jpg,104,213,80,90,1,550,340
1054h.jpg,275,69,84,108,1,550,340
1056h.jpg,31,0,160,176,1,231,158
1057h.jpg,116,0,434,793,1,547,810
105s.jpg,127,78,100,116,2,350,265
105sp.jpg,35,4,48,80,2,85,85
1060h.jpg,66,19,200,94,1,286,168
1063h.jpg,84,143,184,110,1,362,377
1064h.jpg,106,73,113,146,1,297,216
1065h.jpg,67,83,255,189,1,449,361
1066h.jpg,119,97,195,186,1,506,397
1068h.jpg,15,27,97,169,1,141,217
1069h.jpg,174,137,81,143,1,480,343
106s.jpg,174,76,402,351,2,580,435
106sp.jpg,2,3,68,58,2,67,67
1070h.jpg,25,48,588,440,1,685,541
1073h.jpg,110,59,86,71,1,285,229
1074h.jpg,978,436,1308,1052,1,3072,1936
1076h.jpg,42,67,362,343,1,497,439
1077h.jpg,31,23,127,115,1,199,158
1078h.jpg,169,171,175,143,1,566,400
1079h.jpg,14,18,148,257,1,186,300
107s.jpg,8,15,170,196,2,200,242
107sj.jpg,56,25,128,80,2,304,214
107sp.jpg,2,2,98,101,2,103,103
1080h.jpg,20,12,101,121,1,137,152
1082h.jpg,199,161,546,393,1,1024,768
1085h.jpg,38,7,295,163,1,332,202
1087h.jpg,32,21,111,210,1,166,257
1088h.jpg,138,126,438,922,1,800,1200
1089h.jpg,338,129,330,201,1,867,689
1089h.jpg,231,158,189,265,1,867,689
1089h.jpg,470,353,218,165,1,867,689
108s.jpg,167,70,187,264,2,500,342
